RefDes,Side,LocationX (Mil),LocationY (Mil),Rotation,Package,Value
CH3:Q1,top,4727.839724,2425.660394,0,,
J15,top,2949.278189,1642.454055,180,DF9-31S,Firefly Header
CH0:R7,top,1332.677126,2686.43126,0,402,10k
CH2:R4,top,3421.082874,2475.293346,90,402,249k
CH1:R2,bottom,2667.664606,2494.183819,180,402,5.1
Q5,top,5520.323346,2571.076969,0,SOT23,
U184,bottom,1499.015748,2024.029724,90,SOT-223-4,NCP1117ST33T3G -3V3
C35,top,307.4663386,1846.456693,180,,10uF
R135,bottom,3280.511811,2697.49685,180,402,1M
Y118,bottom,3607.494331,592.4917323,180,SMT_XTAL_5MM0_3MM2,
C24,top,603.5433071,1039.32815,180,805,10uF
C122,top,2797.102992,1202.559055,0,,100nF
CH3:R2,bottom,4883.345039,2492.102283,180,402,5.1
R97,top,2126.15315,250.984252,0,402,39
C57,bottom,3558.858268,1003.139961,0,,10nF
BT204,top,5520.535551,736.5485433,270,SMD_MODULE,
R100,top,2304.161811,706.1163386,270,402,100k
C103,top,5080.11811,591.4558268,90,,100nF
CH3:C1,bottom,4939.855079,2537.809213,270,402,68pF
CH1:C1,bottom,2724.174646,2539.890748,270,402,68pF
CH3:R4,top,4562.584449,2475.532087,90,402,249k
FB126,bottom,3234.055118,942.1635827,180,SMD,MH2029-300Y
C101,bottom,520.6285039,1951.771654,90,805,4.7uF
J744,bottom,3249.282283,381.313189,90,CONN_AUD_SMD,
CH1:Q3,bottom,2985.337677,2445.458465,180,SOT23,
R140,top,3226.78563,1232.929724,270,402,680
CH3:R6,top,4540.930906,2633.689331,0,402,249k
FB40,top,957.6771654,424.5783465,90,SMD,MH2029-300Y
R147,top,5757.705118,2242.533661,180,,30
J7,top,1801.532835,1619.734134,270,,
R102,bottom,3034.173425,2095.880118,0,,0
CH0:Q1,top,1434.940276,2428.149567,0,,
C41,bottom,3706.734803,1740.537205,180,402,100nF
CH0:R6,top,1248.031457,2636.178504,0,402,249k
C120,top,3105.004961,749.015748,0,,100nF
Y7,top,2902.825591,1364.145276,180,SMT_XTAL_5MM0_3MM2,
CH2:R3,bottom,3741.843465,2584.237992,180,402,5.1
C47,bottom,4585.826772,1282.068307,0,805,10uF
R127,top,221.8643701,2322.623819,0,402,2k
C1,top,1509.434843,1391.929134,270,402,100nF
C18,top,1860.067323,876.1811024,180,402,100nF
C90,top,2111.220472,1042.205551,270,,100nF
C113,top,2944.164213,749.5923228,0,,100nF
C98,top,2193.489961,875.4592913,90,,10nF
R36,bottom,3705.708661,1822.834646,180,402,0
CH2:R7,top,3484.075,2683.703346,0,402,10k
R146,top,5757.705118,2199.803189,180,,5.1
C52,bottom,3370.866142,1092.923031,270,,16pF
C21,top,871.4706693,752.1653543,0,402,100nF
CH2:R6,top,3399.429331,2633.450591,0,402,249k
R120,bottom,2395.669291,710.2222441,270,402,100k
CH0:R4,top,1269.685,2478.02126,90,402,249k
TP3,bottom,4603.923031,2641.563346,90,SMT_TP,
C17,top,1658.633465,411.0375984,90,402,100nF
R11,top,800.3937008,1271.322047,90,402,39
C9,top,1003.712205,1537.373622,180,402,16pF
U409,bottom,2742.450236,2160.433071,270,MSOP10,
C114,top,3087.936417,1290.902953,180,805,1uF
C42,bottom,4318.700748,1656.299213,270,402,100nF
CH0:R1,top,1309.055079,2478.02126,90,402,100k
C129,top,323.2423228,1088.006102,180,,10uF
R9,top,871.4706693,974.6062992,0,402,100k
CH1:U2,bottom,2818.316929,2538.662992,270,MSOP-8,
S5,top,4592.889764,935.2598819,270,,
CH2:R2,bottom,3741.843465,2491.863543,180,402,5.1
C8,top,825.3937008,1537.373622,0,402,16pF
R131,bottom,613.1233465,2632.874016,180,402,10k
R70,top,3620.280354,2224.409449,0,1206,0.4
C127,top,383.8582677,2233.675394,180,,10uF
R49,bottom,953.7401575,2080.708661,90,,10k
U882,top,2273.62815,2053.149606,90,SOT-223-4,
R86,bottom,3469.436614,1611.431299,270,402,10k
Z26,top,244.0944882,1286.417323,270,603,CG0603MLC-05E
C56,bottom,4183.689331,659.2519685,90,402,100nF
U205,top,5343.241457,1616.272953,270,ESP-07,
